problem_id	ground_answer	run_id	llm_id	judge_score	solver_score
problem_017	13/27	648073e146864e848958ab316d0c216a	gpt-5-mini	0.9	1.0
problem_017	13/27	648073e146864e848958ab316d0c216a	gemini-3-pro	0.9	0.9
problem_017	13/27	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	0.9
problem_017	13/27	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0
problem_018	0.5	44b6ef7363d0491e903fe248294a74b7	gpt-4.1	0.9	0.95
problem_018	0.5	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	1.0
problem_018	0.5	648073e146864e848958ab316d0c216a	gpt-5-mini	1.0	1.0
problem_018	0.5	44b6ef7363d0491e903fe248294a74b7	gpt-5-mini	0.9	1.0
problem_018	0.5	44b6ef7363d0491e903fe248294a74b7	gemini-3-pro	1.0	1.0
problem_018	0.5	44b6ef7363d0491e903fe248294a74b7	gemini-3-flash	0.9	1.0
problem_018	0.5	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	0.95
problem_018	0.5	648073e146864e848958ab316d0c216a	gemini-3-pro	0.9	0.95
problem_019	34	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	0.98
problem_019	34	648073e146864e848958ab316d0c216a	gemini-3-pro	0.8	0.9
problem_019	34	44b6ef7363d0491e903fe248294a74b7	gpt-5-mini	0.9	1.0
problem_019	34	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	1.0
problem_019	34	648073e146864e848958ab316d0c216a	gpt-5-mini	0.2	1.0
problem_019	34	44b6ef7363d0491e903fe248294a74b7	gemini-3-pro	0.9	1.0
problem_019	34	44b6ef7363d0491e903fe248294a74b7	gemini-3-flash	0.9	1.0
problem_019	34	44b6ef7363d0491e903fe248294a74b7	gpt-4.1	0.9	1.0
problem_020	3	648073e146864e848958ab316d0c216a	gemini-3-pro	0.9	0.95
problem_020	3	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	1.0
problem_020	3	648073e146864e848958ab316d0c216a	gpt-5-mini	0.9	0.95
problem_020	3	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0
problem_021	499,500	9596f230c36d49adb2ea1242f3f13ecf	gpt-5-mini	0.9	1.0
problem_021	499,500	648073e146864e848958ab316d0c216a	gemini-3-pro	0.6	0.95
problem_021	499,500	648073e146864e848958ab316d0c216a	gpt-5-mini	0.9	0.95
problem_021	499,500	9596f230c36d49adb2ea1242f3f13ecf	gpt-4.1	0.85	0.95
problem_021	499,500	9596f230c36d49adb2ea1242f3f13ecf	gemini-3-pro	0.85	0.95
problem_021	499,500	9596f230c36d49adb2ea1242f3f13ecf	gemini-3-flash	0.85	0.95
problem_021	499,500	648073e146864e848958ab316d0c216a	gemini-3-flash	0.8	1.0
problem_021	499,500	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	0.98
problem_022	45	9596f230c36d49adb2ea1242f3f13ecf	gemini-3-pro	0.85	0.95
problem_022	45	9596f230c36d49adb2ea1242f3f13ecf	gpt-5-mini	0.8	1.0
problem_022	45	9596f230c36d49adb2ea1242f3f13ecf	gpt-4.1	0.8	0.9
problem_022	45	648073e146864e848958ab316d0c216a	gpt-5-mini	0.25	0.95
problem_022	45	648073e146864e848958ab316d0c216a	gemini-3-pro	0.7	0.9
problem_022	45	648073e146864e848958ab316d0c216a	gemini-3-flash	0.8	0.9
problem_022	45	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	0.95
problem_022	45	9596f230c36d49adb2ea1242f3f13ecf	gemini-3-flash	0.9	1.0
problem_023	(m, n) such that 3 divides m * n	9596f230c36d49adb2ea1242f3f13ecf	gemini-3-flash	0.9	1.0
problem_023	(m, n) such that 3 divides m * n	9596f230c36d49adb2ea1242f3f13ecf	gemini-3-pro	0.8	0.9
problem_023	(m, n) such that 3 divides m * n	9596f230c36d49adb2ea1242f3f13ecf	gpt-4.1	0.95	0.95
problem_023	(m, n) such that 3 divides m * n	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	0.95
problem_023	(m, n) such that 3 divides m * n	9596f230c36d49adb2ea1242f3f13ecf	gpt-5-mini	0.9	1.0
