subcategory	statement	difficulty	problem_id	ground_answer	category	_document_id
Geometric Reasoning	A helicopter follows a programmed route: it flies 100 km north, then 100 km east, then 100 km west, and finally 100 km south. If the helicopter starts from a point on the surface of the Earth, will it return to the same point after completing the route?	medium	problem_011	no	Mathematical/Logical Reasoning	problem_011
Random Cuts	You have many chocolate bars of unit length and start breaking each of them into three pieces by randomly choosing two points on the bar. What are the average lengths of the shortest, medium, and longest pieces? If the product of these averages can be expressed as p/q, where p and q are coprime positive integers, give your answer as p + q.	hard	problem_012	2971	Mathematical / Geometric Probability	problem_012
High-Dimensional Geometry	Alex, Bob, and Charlie each randomly pick a real number between 0 and 1. What is the probability that the sum of the squares of their numbers does not exceed 1?	medium	problem_013	pi/6	Mathematical / Geometric Probability	problem_013
Broken Stick Problem	Two points are chosen randomly and uniformly along a stick of length 1. The stick is cut at those points to form three pieces. What is the probability that these pieces can form a triangle?	medium	problem_014	1/4	Mathematical / Geometric Probability	problem_014
Truthfulness	"In a magical swamp, there are two species of talking amphibians: toads whose statements are always true, and frogs whose statements are always false.

Four amphibians, Brian, Chris, LeRoy, and Mike live together in this swamp, and they make the following statements:

Brian: ""Mike and I are different species.""
Chris: ""LeRoy is a frog.""
LeRoy: ""Chris is a frog.""
Mike: ""Of the four of us, at least two are toads.""

How many of these amphibians are frogs?"	easy	problem_015	3	Logic Puzzles & Constraint Satisfaction	problem_015
Truthfulness	"On the island of Knights and Knaves, I met three people A, B, and C, one of whom is a knight, another is a knave, and the other is a spy. The knight always tells the truth, the knave always lies, and the spy can either lie or tell the truth.

A says: ""I am the knight.""
B says: ""I am the knave.""
C says: ""I am the spy."""	easy	problem_016	B	Logic Puzzles & Constraint Satisfaction	problem_016
Conditional Probability	Mr. Jones has two children. It is known that at least one of them is a boy who was born on a Tuesday. What is the probability that Mr. Jones has two boys?	hard	problem_017	13/27	Logic Puzzles & Constraint Satisfaction	problem_017
Probability and Random Processes	An airplane has 100 seats numbered from 1 to 100 and 100 passengers boarding in a random order. Each passenger has an assigned seat number. The first passenger ignores their boarding pass and chooses a seat at random. Each subsequent passenger takes their assigned seat if it is available; otherwise, they randomly choose from the remaining seats. What is the probability that the last passenger sits in their assigned seat? Give the answer as a decimal.	medium	problem_018	0.5	Mathematical/Logical Reasoning	problem_018
Combinatorial Games	At a party with 99 guests, the hosts Ann and Bob play a game (the hosts themselves are not counted as guests). There are 99 chairs arranged in a circle, and initially all guests are standing. The hosts take turns alternately, with Ann moving first. On a turn, a host orders any standing guest to sit on an unoccupied chair c. If at least one chair adjacent to c is already occupied, the same host must order one guest sitting on such an adjacent chair to stand up (if both adjacent chairs are occupied, the host chooses exactly one of them). All orders are carried out immediately. Ann’s goal is to ensure that after some move of hers, at least k chairs are occupied. Determine the largest value of k that Ann can guarantee, regardless of how Bob plays.	hard	problem_019	34	Strategic Game Theory	problem_019
Truthfulness	"In a magical swamp, there are two species of talking amphibians: toads whose statements are always true, and frogs whose statements are always false.

Four amphibians, Brian, Chris, LeRoy, and Mike live together in this swamp, and they make the following statements:

Brian: ""Mike and I are different species.""
Chris: ""LeRoy is a frog.""
LeRoy: ""Chris is a frog.""
Mike: ""Of the four of us, at least two are toads.""

How many of these amphibians are frogs?"	easy	problem_020	3	Logic Puzzles & Constraint Satisfaction	problem_020
Rankings and Performance Metrics	Let n be a positive integer. A class of n students run n races, in each of which they are ranked with no draws. A student is eligible for a rating (a, b) for positive integers a and b if they come in the top b places in at least a of the races. Their final score is the maximum possible value of a − b across all ratings for which they are eligible. Find the maximum possible sum of all the scores of the n students when n = 1000.	hard	problem_021	499,500	Mathematical/Logical Reasoning	problem_021
Rankings and Performance Metrics	Let n be a positive integer. A class of n students run n races, in each of which they are ranked with no draws. A student is eligible for a rating (a, b) for positive integers a and b if they come in the top b places in at least a of the races. Their final score is the maximum possible value of a − b across all ratings for which they are eligible. Find the maximum possible sum of all the scores of the n students when n = 10.	hard	problem_022	45	Mathematical/Logical Reasoning	problem_022
Invariants and Parity Arguments	Let m and n be positive integers greater than 1. In each unit square of an m × n grid lies a coin with its tail side up. A move consists of selecting a 2 × 2 square in the grid, flipping the coins in the top-left and bottom-right unit squares, and flipping the coin in either the top-right or bottom-left unit square. Determine all pairs (m, n) for which it is possible that every coin shows head-side up after a finite number of moves.	hard	problem_023	(m, n) such that 3 divides m * n	Mathematical/Logical Reasoning	problem_023
